identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006504341;RENAULT;2019;90532;4448;17677;
0006802818;AEROPORT de Toulouse Blagnac;2019;8654;;;
0022200020;RHUMS MARTINIQUAIS SAINT JAMES;2019;;69740;10091;
0006104379;ARKEMA USINE DE LA CHAMBRE;2019;5702080;4975423;5876;
0006401040;IMERYS Aluminates SA;2019;;128775;139361;
0053600674;LEROUGE OLIVIER;2019;9500;;3000;
0005503400;COOPERL ARC ATLANTIQUE;2019;16644;;6860;
0006301288;FROMAGERIES PERREAULT;2019;;;161336;
0052200488;SARL DE GASTRY;2019;8000;;;
0006300907;LAITERIE SAINT PERE;2019;95614;;269628;
0056101541;ATEMAX FRANCE;2019;;;63164;
0007000846;MC CAIN ALIMENTAIRE;2019;1521994;;3453;
0024600028;INDUSTEEL FRANCE site du Creusot (Secteur Creusot);2019;;;295534;
0005426365;SABLIERES COGNARD SAS;2019;;10938;;
0006804399;SAS PIERRE FABRE DERMO-COSMETIQUE;2019;;7945;99261;
0006201722;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);2019;77578;;41469;
0005301505;ACOME;2019;34111;;14252;
0006404923;Air Liquide France Industrie;2019;;;79745;
0007001960;MALTERIES FRANCO-BELGES (St Saulve);2019;213416;;;
0006802463;RODEZ ABATTOIR;2019;;;54284;
0006401056;TOTAL RAFFINAGE FRANCE;2019;2447807;856135;58222;
0005401254;APERAM ALLOYS IMPHY;2019;;518630;34514;
0007000683;ALVANCE ALUMINIUM DUNKERQUE SAS;2019;;201512;59648;
0007100063;ILEVA;2019;;;66373;
0006300989;FLEURY MICHON LS;2019;;;108727;
0009000024;BA 125 Istres;2019;495410;;;
0006300678;GSM (ex CEMEX Granulats);2019;;29743;;
0005518409;GROUPE SODIAAL B;2019;;;778427;
0056700330;HERTA;2019;;214115;;
0054200985;STEPHANOISE D'ABATTAGE;2019;583;;180941;
0006803840;SAS Robert BOSCH;2019;;;54975;
0006400503;ROUSSELOT Isle sur Sorgue SAS;2019;45181;7594294;58977;
0007402241;UNITE PLACOPLATRE;2019;272655;;48898;
0055600800;CADF SA;2019;225110;0;10341;0
0009069910;EDF - CNPE de Nogent-sur-Seine;2019;263000;132040000;;
0006102965;CEA GRENOBLE;2019;4476587;;210204;
0050100066;FROMAGERIE GUILLOTEAU;2019;;;86494;
0053000374;DUC (SA);2019;;;124221;
0005100096;MATERNE;2019;;;281027;
0006600600;GSM;2019;30927;;;
0005209347;SOBEGI SAS;2019;;8737700;73600;
0005201262;ARIANEGROUP;2019;48385;;1244;
0006200869;ANETT ARDENNES;2019;25669;;;
0054401867;COVI SAS;2019;;;258510;
0005701132;FONTE ARDENNAISE FA5;2019;22377;;9927;
0009077201;STEP - LE MANS - La Chauvinière;2019;41242;;63463;
0007000728;AIR LIQUIDE FRANCE INDUSTRIE;2019;;1050804;29712;
0006700513;BUTACHIMIE;2019;28901624;4693205;57974;
0007204429;Martell Gatebourse- Vigerie;2019;20043;;;
0005701344;ENTREMONT SODIAAL;2019;;;183278;
0007003322;RYSSEN ALCOOLS SAS;2019;;165393;59699;
0056401304;LINDT ET SPRUNGLI SAS;2019;0;1052836;66438;0
0005201222;ETEX FRANCE BUILDING PERFORMANCE;2019;;;108000;
0005100114;TEREOS FRANCE (BUCY);2019;14831;2282126;5996;
0007002546;ROQUETTE Frères;2019;34009;11699010;263426;
0006801867;SAS JEAN RUP ET FILS SABLES & GRAVIERS;2019;74415;;;
0057201662;LDC;2019;;;477006;
0005600328;MFP MICHELIN - Site de Cataroux;2019;685;0;281341;0
0006102031;ARCELOR MITTAL WIRE FRANCE;2019;421084;;13682;
0059100019;EGGTEAM SAS;2019;14000;;;
0005501580;CDL SAS;2019;103662;;;
0009069909;EDF - CNPE de Chooz;2019;;133034832;;
0005202193;SAS LES JUS DU SOLEIL;2019;;102322;54000;
0006700583;RICOH INDUSTRIE FRANCE;2019;70984;;54446;
0006301423;LACTALIS NESTLE ULTRA-FRAIS MARQUES SA;2019;;;313313;
0005204674;DRAGAGES PONT DE LESCAR S.A.S;2019;121944;;;
0006400402;SAINT-GOBAIN ISOVER;2019;460473;;3083;
0052904385;CONSERVERIE CHANCERELLE (usine Thon);2019;33876;;40139;
0005600334;CRISTAL UNION;2019;;136099;1568;
0052904512;FARMOR Etablissement de Quimper;2019;161287;;32383;
0007000785;EQIOM Cimenterie de Lumbres;2019;297608;;;
0053502861;SARL SELECT PORC;2019;13305;;;
0009069915;EDF - CNPE de Saint-Alban;2019;;3784082940;;
0006201757;SNF SA;2019;;;63875;
0006700668;BLUE PAPER;2019;4635440;;;
0006500067;SCBV;2019;157365;;;
0006301416;CANDIA;2019;247587;;3624;
0007005038;WEPA FRANCE;2019;;660556;7560;
0006700073;Gravières d'Alsace Lorraine;2019;220000;;;
0007001673;DURAND PRODUCTION;2019;58366;0;509;0
0006506514;IVRY PARIS 13;2019;;78143840;13772;
0006103124;CALOR Site de St JEAN de BOURNAY;2019;13088;;;
0052203989;HUET PHILIPPE;2019;11614;;;
0007407393;Blanchisserie Teinturerie WARTNER;2019;23183;;4354;
0005300552;L.N.U.F. BAYEUX;2019;;;206221;
0006803638;TANNERIE ARNAL;2019;;19276;;
0007404300;SYCTOM;2019;;79444824;6168;
0009070601;STEP - ANTIBES;2019;;;60551;
0005600289;AUBERT & DUVAL ALLIAGES;2019;;;238651;
0006302050;CASTEL FRERES;2019;38144;;42545;
0016400363;SICTOM Nord Allier;2019;;23584;;
0005601349;CANDIA Gerzat;2019;;;329925;
0005701087;A SCHULMAN PLASTICS;2019;;63542;1144;
0005503324;DAUNAT BRETAGNE;2019;;;53823;
0006200876;SOCIETE FROMAGERE DE RAIVAL;2019;31006;;95328;
