identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0040000003;Electricité De Mayotte - EDM;2020;;304
0005104019;CIFRA (Calandrage Industriel Français);2020;4756;
0006700522;BIMA 83;2020;16301;
0006104344;ARC FUSED ALUMINA;2020;;1773335
0006102025;NEXANS FRANCE;2020;68716;
0005101758;EUROSERUM;2020;181663;49337
0010001800;ICOPAL;2020;15103;534379
0006103420;SOCIETE NOUVELLE GALVALOIRE;2020;856;
0007000461;SUEZ RV NORD EST;2020;;5140
0005515907;SMICTOM Centre Ouest (Gaël);2020;;15021
0052900037;STERGOZ;2020;14800;
0006700722;ALSACE LAIT;2020;;364770
0006803878;SAS Ets Henri PLO;2020;;74970
0007003161;BOULONNAIS (Communauté d'Agglomération);2020;;8929816
0005201008;SABENA TECHNICS BOD SAS;2020;9047;0
0005201604;SERETRAM;2020;;274546
0006400889;MAREVA PISCINES ET FILTRATIONS;2020;2837;38906
0006700723;ALOXAN;2020;7367;
0006110065;SICO;2020;70;
0010005151;SETRAD;2020;1386;0
0005900758;SNTS;2020;873;
0010000532;ELIS BERRYLES- LES LAVANDIERES;2020;80627;
0007100070;SUEZ RV REUNION;2020;974;32515
0006400055;Sté ELIS SANTE ROUSSET;2020;78364;
0006106993;PORCHER INDUSTRIES;2020;3925;
0016600019;SUEZ EAU FRANCE SAS;2020;724;
0006301096;TDV INDUSTRIES;2020;139170;
0006302253;BISCUITS CANTREAU S.A.;2020;2595;
0006802396;MECAPROTEC INDUSTRIES 1 - MPI;2020;;8588
0006807619;SYDOM AVEYRON;2020;8660;
0006104306;GRID SOLUTIONS;2020;2977;
0006103116;PIOLAT ROTARY;2020;20;
0050100327;LAITERIE COOPERATIVE AGRICOLE ETREZ;2020;0;79029
0006303763;NICOLL SA;2020;224;320
0005205103;ARKEMA  France SA;2020;378613;378613
0010000641;FORBO Château-Renault SAS;2020;15362;
0018200019;QRO Centre de Lavage Poids Lourds;2020;12208;
0006503572;PEUGEOT CITROEN AUTOMOBILE SA;2020;4047;
0005102490;SITPA  Rosieres;2020;;483017
0005701316;EUROFENCE SCOP (ex PPF);2020;;4860
0007001143;REGAL Marée (SAS);2020;9659;
0005301581;EURIAL (ex Délicelait);2020;;1
0005100154;ARF SA;2020;;70933
0006400036;BRENNTAG MEDITERRANEE;2020;5110000;0
0007002306;ROXANE NORD;2020;;46409
0006508983;ECOPUR (ex SMF MIGNON et FILS);2020;13734;
0006700503;BASF;2020;122647;1472701
0006502212;CEMEX GRANULATS;2020;;177
0006103495;BOURG INDUSTRIE (EX AUFIGEST);2020;3020;2852
0005200359;SAIPOL SA;2020;;80287
0007001138;Compagnie Boulonnaise de Marée;2020;3419;
0010300047;TRIGANO MDC;2020;;1783
0010004916;ANETT DEUX;2020;96641;
0006201358;BRITISH STEEL FRANCE RAIL;2020;;1362
0005201250;ROXEL FRANCE;2020;;721287
0007001125;CHARCUTERIE DES FLANDRES;2020;6900;
0006705039;CERNAY ENVIRONNEMENT;2020;18840;
0006503972;X FAB FRANCE (ex ALTIS SEMICONDUCTOR);2020;10402;602944
0009078701;STEP - LIMOGES;2020;16983772;
0006803675;ABATTOIR DU SAINT AFFRICAIN;2020;18629;
0007000819;CMD;2020;1429;0
0005202718;FINORGA SAS;2020;16548;
0006102436;IMERYS ALUMINATES EX KERNEOS;2020;;2721
0005802611;SMEDAR;2020;14102;
0010300101;GELPAM;2020;;150019
0005701177;LUZEAL;2020;0;0
0006702052;RECIPHARM (ex KB PHARMACEUTICALS);2020;22913;
0005900950;ELECTROLYSE ABBAYE ACEY;2020;;23946
0005204084;Société Nouvelle des Gravières de Gouts;2020;;79510
0005401115;Corden Pharma (ex. SYNKEM);2020;24090;
0006201313;ASCOMETAL HAGONDANGE SAS;2020;;721015
0010000243;SAPA PROFILES NORD/OUEST SAS;2020;3270;
0006200736;ARCELORMITTAL WIRE FRANCE;2020;;20259
0006802588;COM AGGLO GRAND RODEZ;2020;999738;
0006303598;MARTINEAU SA;2020;286;
0006401040;IMERYS Aluminates SA;2020;;25960
0053500596;TENDRIADE;2020;;186788
0003012722;Sablières de la Meurthe (instal  trait);2020;;342511
0005500769;JRS  MARINE PRODUCTS LANDERNEAU;2020;;529227
0005200265;LUCIEN BERNARD SA;2020;;1023
0007002413;OPALE ENVIRONNEMENT (CET);2020;;17041
0057201121;DROUAULT;2020;50842;
0006502229;FRANCE BUILDING PERFORMANCE SA;2020;0;0
0007101624;POINT NET;2020;80;
0007001115;BARRY CALLEBAUT NORD CACAO;2020;9168;10832
0005901978;XPO TANK CLEANING SUD FRANCE;2020;13476;
0005703285;MHCS - Mailly;2020;;1508
0006303457;IMAYE GRAPHIC;2020;671;
0007100113;Sucriere de la Reunion;2020;43642;590974
0005100611;CENTRE HOSPITALIER GENERAL;2020;87829;
0005301337;CARRIERE BAUDOUIN;2020;;188000
0005200812;ARIANEGROUP;2020;62611;237025
0007101835;STEU PIERREFONDS (VEOLIA EAU);2020;3860952;
0007001960;MALTERIES FRANCO-BELGES (St Saulve);2020;;176747
0006400318;MANE ET FILS NOTRE-DAME;2020;;114203
0005425537;DUC;2020;;295406
0005800357;TOTAL RAFFINAGE FRANCE;2020;0;4134672
0054400333;VIOL - CASTEL VIANDES;2020;105710;0
0005700795;EDILIANS;2020;;10031
0006521615;BOUYGUES TRAVAUX PUBLICS;2020;355767;
0005701421;CRISTAL UNION;2020;0;0
0005601319;LAITERIE WALCHLI;2020;;105000
0007000968;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);2020;18177;
0006201894;ArcelorMittal France - Cokerie;2020;;726123
0052900420;SOCIETE LAITIERE DE PONTIVY;2020;32799;
0006705580;SAFRAN LANDING SYSTEMS;2020;12800;266446
0006803629;SAS EDILIANS;2020;;0
0007201891;IMERYS REFRACTORY MINERALS CLERAC;2020;;45668
0006802257;BIGARD;2020;167382;
0006506514;IVRY PARIS 13;2020;255698;83258000
0007002140;RECYCLAGE DES VALLEES;2020;23416;2102
0005801044;DS SMITH;2020;;4011843
0005500035;KERMENE;2020;;588183
0007100111;Teralta Granulats Bétons Réunion;2020;0;0
0009000281;BCRM TOULON - POLE ECOLES MEDITERRANEE;2020;0;
0006102492;thierry gensel;2020;80433;
0006503481;GPSO - VEOLIA EAU - Cie Générale des Eau;2020;;6879771
0006402671;GCSPA;2020;14822;
0010000033;MFP MICHELIN;2020;11927;54658
0006409666;MANON ex SIBELL;2020;88;
0006301049;ARC EN CIEL;2020;32189;
0006102410;STS COMPOSITES FRANCE;2020;17805;505698
0005600360;ONYX AUVERGNE RHONE ALPES;2020;1045;
0022100060;SIS BONNE MERE;2020;;81656
0005701472;ARCELORMITTAL CENTRES DE SERVICES;2020;6660;
0005600155;CHEMVIRON FRANCE;2020;0;10620
0006104367;PLACOPLATRE;2020;2026;0
0006512371;DIELIX (ex SARP biodiesel);2020;;0
0006704365;Fonderie SCHLUMBERGER SAS;2020;1704;
0006700480;WAGRAM TERMINAL SAS;2020;;8279
0006506261;COCA COLA EUROPEAN PARTNERS FRANCE;2020;51145;
0056400372;BONCOLAC;2020;;72705
0005101064;AOC (ex ALIANCYS FRANCE SAS ex DSM);2020;0;28512
0050100813;BOEHRINGER INGELHEIM SANTE ANIMALE;2020;13711;
0006001460;SAFRAN FILTRATION SYSTEMS (ex-SOFRANCE);2020;851;
0010001817;TIAC (ex ARCELOR MITTAL);2020;1315;0
0056101541;ATEMAX FRANCE;2020;;113146
0006806172;Denjean Ariège Granulats;2020;;0
0006104078;KEOLIS LYON;2020;989;0
0010003781;TI GROUP AUTOMOTIVE SYSTEMS;2020;;7204
0006302229;AR PACKAGING;2020;245;
0005503722;SNCF VOYAGEURS TECHNICENTRE RENNES;2020;46746;
0005701734;MALTEUROP FRANCE - Pringy;2020;;203774
0006400927;WILMAR FRANCE HOLDINGS SAS;2020;;8454
0024900010;CHAROT;2020;645;446
0010004219;PROCTER ET GAMBLE BLOIS;2020;147530;
0005701782;ARCELOR MITTAL Tubular products Vitry;2020;346;
0005901916;SOCIETE DES CARRIERES DE L'EST;2020;;70000
0005301913;FABRINOR;2020;203;203
0005701427;MONDI LEMBACEL;2020;617;
0006104577;HACER TRAITEMENTS DE SURFACE;2020;;100880
0005516926;RENNES METROPOLE;2020;175698;
0006302050;CASTEL FRERES;2020;;82228
0006802640;Sage Automotive Interiors Fr;2020;23897;
0007000532;FERRO Performance Pigments France;2020;;26020
0005601778;COVED SA;2020;3109;
0006300888;ALVA;2020;;98237
0016400435;CTL PACKAGING;2020;0;
0054400707;AGIS Etablissement d'Herbignac;2020;;87394
0006701057;Société des Malteries d'Alsace;2020;317831;
0006200499;SAM RIVA;2020;;664336
0007100099;Sucrerie de Bois Rouge;2020;;727113
0007203926;CALCIA Ciments Usine;2020;;0
0006103714;Air Liquide France Industrie;2020;;1645420
0005206361;BRENNTAG  AQUITAINE;2020;598;
0040000207;EVOLLYS;2020;249447;
0005206070;COMMUNAUTE DE COMMUNES DE ST LOUBES;2020;;133366
0006109081;BDS RECYCLAGE;2020;;100
0007100060;COMPAGNIE LAITIERE DES MASCAREIGNES;2020;291385;
0005200936;DISTILLERIES VINICOLES  DU BLAYAIS;2020;;30446
0010000980;CIRETEC;2020;5669;6674
0010300163;AUTAJON SP;2020;11324;
0007000643;BORAX FRANCAIS;2020;;703117
0006301228;DEFONTAINE;2020;6600;
0009000122;3e RMAT DETACHEMENT DE VAYRES;2020;;500
0006402259;SERAMM Usine des boues;2020;2613853;
0006302278;L'ABEILLE;2020;90177;
0006402197;BLANCHISSERIE SANTALYS;2020;19310;
0006600430;PCAS;2020;;954558
0006207145;ARKEMA FRANCE;2020;;3764055
0006501602;BASF (ex COGNIS FRANCE SIDOBRE SINNOVA);2020;;248133
0006700412;TREDI Hombourg;2020;;31056
0005800458;CALISTE MARQUIS;2020;;636
0005300307;VEOLIA RECYCLAGE VALORISATION NORMANDIE;2020;2041;
0006103436;EMIEUX SARL;2020;273;
0007003171;ARCELORMITTAL TUBULAR PRODUCTS HAUTMONT;2020;0;0
0053201088;FERMIERS DU GERS;2020;;63967
0005202306;RIGHINI SAS;2020;9660;
0006700569;SUEZ RV Nord Est RETZWILLER;2020;15054;
0006404835;AIR LIQUIDE FRANCE INDUSTRIE (ALFI);2020;9313;
0006104223;COURLY  GRAND LYON USINE LYON SUD;2020;47534;6711276
0006503431;AUCHAN SAMADOC;2020;6810;
0006600453;Société des CIMENTS CALCIA;2020;;46664
0005500440;IDEX ENVIRONNEMENT BRETAGNE( SARL);2020;42215;
0006101099;CARRIERES DE TIGNIEU;2020;;0
0006700800;BRASSERIE METEOR;2020;;116628
0007000570;MOTTEZ;2020;;775
0007005666;LEROY FISHCUT;2020;13796;
0006104246;VELAN SAS;2020;2877;
0005901990;SERTRID;2020;1635;
0006114421;IDEAL;2020;601;
0007001286;AKEBONO ARRAS SA;2020;3516;
0010001754;ACIAL;2020;2071;
0053201202;DELPEYRAT;2020;41352;
0006600262;LAFARGE HOLCIM;2020;0;0
0010400024;ARJOBEX;2020;;3892
0006700361;NLMK Strasbourg;2020;;1592788
0006201350;SPLRL;2020;;628634
0006502131;A2C Granulat;2020;;0
0007000830;Peugeot Citroën Mécanique du Nord Ouest SNC;2020;;31113
0005504149;Mc BRIDE;2020;3672;
0005801000;JANSSEN CILAG;2020;75694;
0022100032;SRMG (SUCRERIE MARIE-GALANTE);2020;2102;
0007000703;SECAB SARL;2020;;749131
0006102272;TREDI;2020;;1286168
