identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0005500852;CARRIERES LAGADEC;63582029300085;PONT PINVIDIC;29400;LAMPAUL-GUIMILIAU;FINISTERE;BRETAGNE;180912.000000;6844188.000000;;4312A;Travaux de terrassement courants et travaux préparatoires;;
0009077301;UDEP - Chambéry;24730009800099;300 rue de Chantabord Zi Bissy;73000;CHAMBERY;SAVOIE;AUVERGNE-RHONE-ALPES;5.899579;45.588196;;3700Z;Collecte et traitement des eaux usées;5.(f);Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
0007300004;ENGIE -  Station de gaz du Loretto;55208131753868;Loretto - route du Vittulo;20000;AJACCIO;CORSE-DU-SUD;CORSE;1175054.000000;6109594.000000;;3513Z;Distribution d'électricité;;
0007300015;SECA;30058672400035;Lieu-dit : San Dionisio;20167;APPIETTO;CORSE-DU-SUD;CORSE;1176329.000000;6116976.000000;;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006900066;GUYANEXPLO;34858310500021;Lieu dit  Crique Soumourou;97310;KOUROU;GUYANE;GUYANE;308717.000000;564590.000000;;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;4.(f);Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
0006700211;GANTER LAVIGNE EXTRACTION Baldersheim;31774850700017;WOLFAECKER, ZERC3;68390;BALDERSHEIM;HAUT-RHIN;GRAND-EST;1029367.000000;6752747.000000;;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0052201129;GAEC THOMAS;37755555200019;KERICQUEL;22290;GOUDELIN;COTES-D'ARMOR;BRETAGNE;258594.000000;6850895.000000;4326;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005104892;BARCENA SARL  (garage);41511258000014;chemin de Salouel;80480;PONT-DE-METZ;SOMME;HAUTS-DE-FRANCE;645759.000000;6975345.000000;4326;4520A;Entretien et réparation de véhicules automobiles légers;;
0005502516;GUENNEAU (SARL);34371261800010;LE MERDY;29100;KERLAZ;FINISTERE;BRETAGNE;159826.000000;6801122.000000;4326;4312A;Travaux de terrassement courants et travaux préparatoires;;
0007201954;CDMR Sainte-Gemme;67182020700163;Fief Lion;17250;SAINTE-GEMME;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;394096.000000;6526296.000000;4326;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;;
0050100832;BRESSOR SA;38322876400015;site de Servas, BP 26;01960;SERVAS;AIN;AUVERGNE-RHONE-ALPES;867311.000000;6561885.000000;;1051C;Fabrication de fromage;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0040000207;EVOLLYS;35406854600036;4 rue Jean-Pierre  Vassor;97427;L'Étang-Salé;REUNION;REUNION;330500.000000;7649400.000000;;1012Z;Transformation et conservation de la viande de volaille;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0005105844;LANGUEDOC Christophe;49902715900015;Lieu dit Le Bois des Saules, parcelles ZC n° 49 et 70 a, b, c et d;60175;VILLENEUVE-LES-SABLONS;OISE;HAUTS-DE-FRANCE;633535.000000;6904557.000000;;6820B;Location de terrains et d'autres biens immobiliers;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0058500277;SECANIM CENTRE SAS;40326416100049;Route de Niort;85490;BENET;VENDEE;PAYS-DE-LA-LOIRE;422583.000000;6593363.000000;27572;3832Z;Récupération de déchets triés;;
0009069931;EDF - CNPE de Belleville-sur-Loire;55208131734108;BP 11;18240;LERE;CHER;CENTRE;2.876031;47.508287;27572;3511Z;Production d'électricité;;
0006809236;DISTRIFER SARL;49779530200023;ZI de Lamothe;32000;AUCH;GERS;OCCITANIE;506855.000000;6291383.000000;2154;4672Z;Commerce de gros (commerce interentreprises) de minerais et métaux;;
