Departement,Sous_dossier,dossier,division,Nom du fichier,Extension,Type_surface,ville,categorie,type_commune,chemin_relatif
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_commune_s_001,.dbf,s,lyon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_commune_s_001.dbf
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_commune_s_001,.prj,s,lyon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_commune_s_001.prj
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_commune_s_001,.qix,s,lyon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_commune_s_001.qix
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_commune_s_001,.shp,s,lyon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_commune_s_001.shp
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_commune_s_001,.shx,s,lyon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_commune_s_001.shx
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_enjeu_rapport_001,.csv,Non trouve,lyon,enjeu_rapport,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_enjeu_rapport_001.csv
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_01for_s_001,.dbf,s,lyon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_01for_s_001.dbf
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_01for_s_001,.prj,s,lyon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_01for_s_001.prj
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_01for_s_001,.qix,s,lyon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_01for_s_001.qix
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_01for_s_001,.shp,s,lyon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_01for_s_001.shp
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_01for_s_001,.shx,s,lyon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_01for_s_001.shx
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_02moy_s_001,.dbf,s,lyon,inondable,02moy,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_02moy_s_001.dbf
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_02moy_s_001,.prj,s,lyon,inondable,02moy,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_02moy_s_001.prj
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_02moy_s_001,.qix,s,lyon,inondable,02moy,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_02moy_s_001.qix
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_02moy_s_001,.shp,s,lyon,inondable,02moy,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_02moy_s_001.shp
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_02moy_s_001,.shx,s,lyon,inondable,02moy,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_02moy_s_001.shx
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_04fai_s_001,.dbf,s,lyon,inondable,04fai,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_04fai_s_001.dbf
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_04fai_s_001,.prj,s,lyon,inondable,04fai,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_04fai_s_001.prj
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_04fai_s_001,.qix,s,lyon,inondable,04fai,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_04fai_s_001.qix
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_04fai_s_001,.shp,s,lyon,inondable,04fai,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_04fai_s_001.shp
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_LYON,n_tri_lyon_inondable_01_04fai_s_001,.shx,s,lyon,inondable,04fai,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_LYON\n_tri_lyon_inondable_01_04fai_s_001.shx
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_commune_s_001,.dbf,s,macon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_commune_s_001.dbf
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_commune_s_001,.prj,s,macon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_commune_s_001.prj
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_commune_s_001,.qix,s,macon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_commune_s_001.qix
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_commune_s_001,.shp,s,macon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_commune_s_001.shp
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_commune_s_001,.shx,s,macon,commune,Non trouve,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_commune_s_001.shx
01,tri_2020_sig_di_01,tri_2020,FRD_TRI_MACON,n_tri_macon_inondable_01_01for_s_001,.dbf,s,macon,inondable,01for,tri_2020\01\tri_2020_sig_di_01\FRD_TRI_MACON\n_tri_macon_inondable_01_01for_s_001.dbf
